data_loss_epoch,data_loss_step,epoch,step,train_loss_epoch,train_loss_step
,0.3072945177555084,0,49,,0.3072945177555084
,0.08573444932699203,0,99,,0.08573444932699203
,0.12901721894741058,0,149,,0.12901721894741058
,0.10029534995555878,0,199,,0.10029534995555878
,0.05782749131321907,0,249,,0.05782749131321907
,0.1030610054731369,0,299,,0.1030610054731369
0.12169241160154343,,0,333,0.12169241160154343,
,0.09185859560966492,1,349,,0.09185859560966492
,0.11256686598062515,1,399,,0.11256686598062515
,0.1469908058643341,1,449,,0.1469908058643341
,0.07340089976787567,1,499,,0.07340089976787567
,0.06589163839817047,1,549,,0.06589163839817047
,0.0858001783490181,1,599,,0.0858001783490181
,0.059198372066020966,1,649,,0.059198372066020966
0.0834181159734726,,1,667,0.0834181159734726,
,0.0441804863512516,2,699,,0.0441804863512516
,0.04929787665605545,2,749,,0.04929787665605545
,0.11311353743076324,2,799,,0.11311353743076324
,0.08614544570446014,2,849,,0.08614544570446014
,0.07786987721920013,2,899,,0.07786987721920013
,0.1098952442407608,2,949,,0.1098952442407608
,0.05681934952735901,2,999,,0.05681934952735901
0.08317258208990097,,2,1001,0.08317258208990097,
